LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,453,NAVSARI,396380,29/10/2025,PRAKASHBHAI SUMANBHAI AHIR,"284, BRHMDEV FALIYA, GANDEVI, 284, 00, GANDEVI","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,453,NAVSARI,396445,29/10/2025,MAAKRUPA EGGBISTRO,"Ax-2, chandanvan SOCEITY, -, Ax-2, -, navsari","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
24,GUJARAT,453,NAVSARI,396445,29/10/2025,JAY SHREE CHAMUNDA DAIRY FARM,"SHOP NO.3, MATI DARGA, NEAR DARGA, SHOP NO.3, -, NAVSARI","[{""NIC5DigitId"":""10502"",""Description"":""Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food""}]"
24,GUJARAT,453,NAVSARI,396415,10/11/2025,ABDULLAH  SALLU  Enterprise,"298, navi nagari, jalalpore, 298, navsari, navsari","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,453,NAVSARI,396445,10/11/2025,Shyam Tea Center & ICE Gola,"Shop no - 6,, Purvi Appartment,, Vijalpore road,, Shop no - 6,, Navsari, Navsari","[{""NIC5DigitId"":""56302"",""Description"":""Tea\/coffee shops""}]"
24,GUJARAT,453,NAVSARI,396445,10/11/2025,A,"A, A, A, A, A, A","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,453,NAVSARI,396445,10/11/2025,JK MOBILE ACCESSORIES,"., OPP.S.S. MOTORS, ., ., KADIYAWAD, NAVSARI","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,453,NAVSARI,396521,10/11/2025,IMRAN RAHEMAN SHAIKH,"-, AMENA BAUGH, CHIKHLI, -, CHIKHLI, THALA","[{""NIC5DigitId"":""47212"",""Description"":""Retail sale of fresh or preserved fruit and vegetables""},{""NIC5DigitId"":""46301"",""Description"":""Wholesale of fruits & vegetables""}]"
24,GUJARAT,453,NAVSARI,396380,10/11/2025,MAHENDRA TRAVELS,"0, Faliya devsar, Navsari road, 0, Devsar, Amalsad","[{""NIC5DigitId"":""49224"",""Description"":""Taxi operation""}]"
24,GUJARAT,453,NAVSARI,396436,10/11/2025,Apexaben Patel,"64/65, Patel Street, Borsi road, 64/65, 00, Navsari","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
24,GUJARAT,453,NAVSARI,396530,10/11/2025,DINESHKUMAR NANUBHAI AHIR,"-, S/O NANUBHAI AHIR, AHIR FALIYU, -, -, CHIKHLI","[{""NIC5DigitId"":""46109"",""Description"":""Activities of other commission agents n.e.c. (including commission agents working in emerging areas for wholesale trade""}]"
24,GUJARAT,453,NAVSARI,396424,13/11/2025,Vyom Chemist,"Tenement No 1005892, Shop No 2, Kabilpore, Tenement No 1005892, Chovisi, Navsari","[{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""}]"
24,GUJARAT,453,NAVSARI,396370,13/11/2025,ajaykumar ashokbhai halpati,"0, brahman faliyu, kachholi, 0, gandevi, kachholi","[{""NIC5DigitId"":""01612"",""Description"":""Operation of agricultural irrigation equipment""}]"
24,GUJARAT,453,NAVSARI,396580,13/11/2025,SUMUKH ALL MARTS,"1, SHANTINAGAR 2, VANSDA DHARAMPUR ROAD, 1, RANI FALIYA, BANSDA","[{""NIC5DigitId"":""81300"",""Description"":""Landscape care and maintenance service activities""},{""NIC5DigitId"":""86100"",""Description"":""Hospital activities""},{""NIC5DigitId"":""95221"",""Description"":""Repair and servicing of household appliances ( refrigerators, stoves, washing machines, clothes dryers, room air conditioners, etc. )""}]"
24,GUJARAT,453,NAVSARI,396051,13/11/2025,Keshari Nandan Alluminium Section,"Khanpur, Khanpur, Chondha Road, Khanpur, Vansda, NAvsari","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,453,NAVSARI,396321,15/11/2025,CHETAN SINGH RASOIYA,"0, GAYKWAD MILL CHAL VILLAGE, BILIMORA, 0, TALUKA GANDEVI, BILIMORA","[{""NIC5DigitId"":""56210"",""Description"":""Event catering""}]"
24,GUJARAT,453,NAVSARI,396560,15/11/2025,INDIA NATURAL JAGGERY,"Property no. 1455, 0, Padar Faliya, Property no. 1455, 0, Chikhli","[{""NIC5DigitId"":""10722"",""Description"":""Manufacture of 'gur' from sugarcane""}]"
24,GUJARAT,453,NAVSARI,396445,15/11/2025,BRAHMANI MEDICAL STORE,"shop no. 917, -, tower road, shop no. 917, -, navsari","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
24,GUJARAT,453,NAVSARI,396445,15/11/2025,kalaki devi,"9, SILVER HEIGHT, CHAR RASTA, 9, CHHAPRA, NAVSARI","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
